 INFO [2024-05-07 15:09:08,878] (%D:10) - **********************************************************************************************
 INFO [2024-05-07 15:09:08,878] (%D:11) - $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$Verify Add New Employee functionality as Manager      $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$
 INFO [2024-05-07 15:09:08,878] (%D:12) - ***********************************************************************************************
 INFO [2024-05-07 15:09:19,794] (%D:22) - Clicked on Email Address
 INFO [2024-05-07 15:09:19,907] (%D:22) - Text Entered into Email Address
 INFO [2024-05-07 15:09:19,999] (%D:22) - Clicked on Password
 INFO [2024-05-07 15:09:20,083] (%D:22) - Text Entered into password
 INFO [2024-05-07 15:09:20,172] (%D:22) - Clicked on Login
 INFO [2024-05-07 15:09:25,350] (%D:22) - User navigated to Homepage
 INFO [2024-05-07 15:09:25,588] (%D:22) - Clicked on Employees
 INFO [2024-05-07 15:09:26,095] (%D:22) - Clicked on Add New Employee
 INFO [2024-05-07 15:09:26,096] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,096] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,096] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,096] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,097] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,097] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,097] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,097] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,097] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,098] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,098] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,098] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,098] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,099] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:09:26,701] (%D:22) - Text Entered into First Name
 INFO [2024-05-07 15:09:27,094] (%D:22) - Text Entered into Last Name
 INFO [2024-05-07 15:09:27,263] (%D:22) - Text Entered into Mobile Number
 INFO [2024-05-07 15:09:27,427] (%D:22) - Text Entered into other Contact Number
 INFO [2024-05-07 15:09:27,612] (%D:22) - Text Entered into Email Address
 INFO [2024-05-07 15:09:27,775] (%D:22) - Text Entered into job Title
 INFO [2024-05-07 15:09:31,212] (%D:22) - Text Entered into Passport Number
 INFO [2024-05-07 15:09:31,626] (%D:22) - Text Entered into SA ID
 INFO [2024-05-07 15:09:31,747] (%D:22) - Clicked on Employee Residential Address Details
 INFO [2024-05-07 15:09:31,906] (%D:22) - Text Entered into Postal Code
 INFO [2024-05-07 15:09:50,922] (%D:10) - **********************************************************************************************
 INFO [2024-05-07 15:09:50,925] (%D:11) - $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$Verify Add New Employee functionality as Manager      $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$
 INFO [2024-05-07 15:09:50,926] (%D:12) - ***********************************************************************************************
 INFO [2024-05-07 15:10:01,608] (%D:22) - Clicked on Email Address
 INFO [2024-05-07 15:10:01,727] (%D:22) - Text Entered into Email Address
 INFO [2024-05-07 15:10:01,820] (%D:22) - Clicked on Password
 INFO [2024-05-07 15:10:01,905] (%D:22) - Text Entered into password
 INFO [2024-05-07 15:10:01,999] (%D:22) - Clicked on Login
 INFO [2024-05-07 15:10:07,415] (%D:22) - User navigated to Homepage
 INFO [2024-05-07 15:10:07,622] (%D:22) - Clicked on Employees
 INFO [2024-05-07 15:10:08,007] (%D:22) - Clicked on Add New Employee
 INFO [2024-05-07 15:10:08,008] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,009] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,009] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,009] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,010] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,010] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,010] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,011] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,011] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,011] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,012] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,016] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,016] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,021] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:10:08,271] (%D:22) - Text Entered into First Name
 INFO [2024-05-07 15:10:08,479] (%D:22) - Text Entered into Last Name
 INFO [2024-05-07 15:10:08,655] (%D:22) - Text Entered into Mobile Number
 INFO [2024-05-07 15:10:08,920] (%D:22) - Text Entered into other Contact Number
 INFO [2024-05-07 15:10:09,125] (%D:22) - Text Entered into Email Address
 INFO [2024-05-07 15:10:09,295] (%D:22) - Text Entered into job Title
 INFO [2024-05-07 15:10:12,776] (%D:22) - Text Entered into Passport Number
 INFO [2024-05-07 15:10:13,190] (%D:22) - Text Entered into SA ID
 INFO [2024-05-07 15:10:13,332] (%D:22) - Clicked on Employee Residential Address Details
 INFO [2024-05-07 15:10:13,494] (%D:22) - Text Entered into Postal Code
 INFO [2024-05-07 15:11:49,124] (%D:10) - **********************************************************************************************
 INFO [2024-05-07 15:11:49,124] (%D:11) - $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$Verify Add New Employee functionality as Manager      $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$
 INFO [2024-05-07 15:11:49,124] (%D:12) - ***********************************************************************************************
 INFO [2024-05-07 15:12:00,401] (%D:22) - Clicked on Email Address
 INFO [2024-05-07 15:12:00,515] (%D:22) - Text Entered into Email Address
 INFO [2024-05-07 15:12:00,609] (%D:22) - Clicked on Password
 INFO [2024-05-07 15:12:00,690] (%D:22) - Text Entered into password
 INFO [2024-05-07 15:12:00,782] (%D:22) - Clicked on Login
 INFO [2024-05-07 15:12:06,072] (%D:22) - User navigated to Homepage
 INFO [2024-05-07 15:12:06,354] (%D:22) - Clicked on Employees
 INFO [2024-05-07 15:12:06,921] (%D:22) - Clicked on Add New Employee
 INFO [2024-05-07 15:12:06,921] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,921] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,921] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,921] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,921] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,924] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,924] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,924] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,924] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,924] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,924] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,928] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,928] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:06,929] (%D:22) - Generated Alphanumeric values
 INFO [2024-05-07 15:12:07,501] (%D:22) - Text Entered into First Name
 INFO [2024-05-07 15:12:07,756] (%D:22) - Text Entered into Last Name
 INFO [2024-05-07 15:12:08,085] (%D:22) - Text Entered into Mobile Number
 INFO [2024-05-07 15:12:08,267] (%D:22) - Text Entered into other Contact Number
 INFO [2024-05-07 15:12:08,454] (%D:22) - Text Entered into Email Address
 INFO [2024-05-07 15:12:08,608] (%D:22) - Text Entered into job Title
 INFO [2024-05-07 15:12:12,048] (%D:22) - Text Entered into Passport Number
 INFO [2024-05-07 15:12:12,456] (%D:22) - Text Entered into SA ID
 INFO [2024-05-07 15:12:12,601] (%D:22) - Clicked on Employee Residential Address Details
 INFO [2024-05-07 15:12:12,755] (%D:22) - Text Entered into Postal Code
 INFO [2024-05-07 15:12:32,999] (%D:30) - Element not available
 INFO [2024-05-07 15:12:33,194] (%D:17) - $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$---END---$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$
 INFO [2024-05-07 15:12:33,194] (%D:18) -     
 INFO [2024-05-07 15:12:33,282] (%D:10) - **********************************************************************************************
 INFO [2024-05-07 15:12:33,282] (%D:11) - $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$Verify Add New Employee functionality as Supervisor      $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$
 INFO [2024-05-07 15:12:33,282] (%D:12) - ***********************************************************************************************
 INFO [2024-05-07 15:12:44,129] (%D:22) - Clicked on Email Address
